"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"no balance",24.0,"paid back previous credits at this bank","retraining",2825.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","ownership of house or land",34.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no running account",12.0,"paid back previous credits at this bank","other",2171.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","car/other",38.0,"at other banks","rented","2 or 3","unskilled with permanant residence","3 and more","no","no","good"
"no running account",18.0,"no previous credits or paid back","other",4380.0,"less than 100 DM","between 1 and 4 years","between 20 and 25","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",35.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","yes","yes","good"
"no running account",48.0,"no previous credits or paid back","radio/television",3051.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",54.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",18.0,"no previous credits or paid back","retraining",1950.0,"no savings","between 4 and 7 years","less than 20","male:single","none","less than 1 year","savings contract with a building society/Life insurance",34.0,"at department store or mail order house","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","repair",2096.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","no assets",49.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","yes","good"
"no balance",24.0,"no previous credits or paid back","other",3512.0,"less than 100 DM","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",38.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","repair",1200.0,"greater than 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",23.0,"at other banks","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"problematic running accounts","radio/television",3990.0,"greater than 1000 DM","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","ownership of house or land",29.0,"at other banks","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","good"
"no balance",48.0,"no previous credits or paid back","other",6560.0,"less than 100 DM","between 4 and 7 years","between 20 and 25","male:single","none","between 1 and 4 years","car/other",24.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",12.0,"no previous credits or paid back","other",2002.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","greater than 7 years","car/other",30.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no running account",24.0,"no problems with current credits at this bank","other",1333.0,"no savings","unemployed","less than 20","male:single","none","between 1 and 4 years","no assets",43.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","other",1255.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",61.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","other",2390.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",50.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"no previous credits or paid back","new car",9398.0,"no savings","less than 1 year","greater than 35","male:married/widowed","none","greater than 7 years","savings contract with a building society/Life insurance",28.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","new car",3868.0,"no savings","greater than 7 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",41.0,"no further running credits","free apartment","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","items of furniture",2578.0,"between 500 and 1000 DM","greater than 7 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",34.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",24.0,"paid back previous credits at this bank","business",11938.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","co-applicant","between 4 and 7 years","savings contract with a building society/Life insurance",39.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","0 to 2","yes","yes","bad"
">=200 DM",6.0,"paid back previous credits at this bank","other",362.0,"less than 100 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",52.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",18.0,"hesistant payment of previous credits","retraining",4165.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",36.0,"at department store or mail order house","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
"no running account",48.0,"problematic running accounts","retraining",7685.0,"no savings","between 4 and 7 years","between 25 and 35","female:divorced/living apart/married","guarantor","greater than 7 years","savings contract with a building society/Life insurance",37.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","business",6314.0,"no savings","unemployed","less than 20","male:single","co-applicant","between 1 and 4 years","ownership of house or land",27.0,"at other banks","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",33.0,"no problems with current credits at this bank","retraining",2764.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",26.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","new car",3850.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","less than 1 year","savings contract with a building society/Life insurance",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",4.0,"paid back previous credits at this bank","items of furniture",1503.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","less than 1 year","no assets",42.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","0 to 2","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","other",2859.0,"greater than 1000 DM","unemployed","less than 20","male:single","none","greater than 7 years","ownership of house or land",38.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",36.0,"problematic running accounts","used car",2746.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",31.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",12.0,"no previous credits or paid back","used car",708.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","guarantor","between 4 and 7 years","car/other",38.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","yes","good"
"no running account",28.0,"no previous credits or paid back","other",4006.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",45.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no running account",36.0,"no problems with current credits at this bank","repair",6887.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 4 and 7 years","car/other",29.0,"at department store or mail order house","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",6.0,"paid back previous credits at this bank","used car",1221.0,"greater than 1000 DM","between 1 and 4 years","greater than 35","male:married/widowed","none","between 1 and 4 years","car/other",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",36.0,"no previous credits or paid back","repair",2273.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","less than 1 year","savings contract with a building society/Life insurance",32.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"<= 200 DM",24.0,"no previous credits or paid back","items of furniture",5152.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",25.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",6.0,"no previous credits or paid back","other",709.0,"between 500 and 1000 DM","less than 1 year","between 25 and 35","male:married/widowed","none","between 1 and 4 years","no assets",27.0,"no further running credits","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","no","good"
"<= 200 DM",21.0,"paid back previous credits at this bank","repair",2319.0,"no savings","less than 1 year","between 25 and 35","male:divorced/living apart","none","less than 1 year","savings contract with a building society/Life insurance",33.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",6.0,"no previous credits or paid back","other",1203.0,"less than 100 DM","greater than 7 years","between 20 and 25","male:single","none","between 1 and 4 years","car/other",43.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",9.0,"no previous credits or paid back","items of furniture",790.0,"between 100 and 500 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","no assets",66.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","used car",4020.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",27.0,"at department store or mail order house","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",30.0,"paid back previous credits at this bank","new car",10623.0,"no savings","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",38.0,"no further running credits","owner","4 or 5","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
">=200 DM",21.0,"paid back previous credits at this bank","used car",2288.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",23.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",9.0,"paid back previous credits at this bank","items of furniture",1138.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","no assets",25.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",7.0,"no previous credits or paid back","items of furniture",2576.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","guarantor","between 1 and 4 years","no assets",35.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","no","good"
">=200 DM",27.0,"no previous credits or paid back","household appliances",5190.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",48.0,"no further running credits","rented","6 or more","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
">=200 DM",6.0,"no previous credits or paid back","used car",1766.0,"no savings","between 1 and 4 years","greater than 35","male:married/widowed","none","between 1 and 4 years","car/other",21.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",6.0,"paid back previous credits at this bank","items of furniture",700.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",36.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",9.0,"paid back previous credits at this bank","other",1224.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","less than 1 year","no assets",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",36.0,"paid back previous credits at this bank","new car",5711.0,"between 500 and 1000 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",38.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",6.0,"no previous credits or paid back","items of furniture",484.0,"no savings","between 4 and 7 years","between 20 and 25","male:married/widowed","guarantor","between 4 and 7 years","no assets",28.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",6.0,"no previous credits or paid back","vacation",1238.0,"greater than 1000 DM","unemployed","less than 20","male:single","none","greater than 7 years","car/other",36.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
">=200 DM",21.0,"no previous credits or paid back","retraining",1572.0,"between 500 and 1000 DM","greater than 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",36.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",33.0,"paid back previous credits at this bank","used car",4281.0,"between 100 and 500 DM","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",23.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",24.0,"problematic running accounts","retraining",3161.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",31.0,"at other banks","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",12.0,"problematic running accounts","items of furniture",626.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",24.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",15.0,"no previous credits or paid back","household appliances",2631.0,"less than 100 DM","between 1 and 4 years","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","no assets",25.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",6.0,"no previous credits or paid back","other",1374.0,"greater than 1000 DM","unemployed","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","car/other",75.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",18.0,"no previous credits or paid back","retraining",1568.0,"less than 100 DM","between 1 and 4 years","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","car/other",24.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",12.0,"no previous credits or paid back","used car",2578.0,"no savings","unemployed","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",55.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","radio/television",1217.0,"no savings","between 1 and 4 years","less than 20","male:married/widowed","none","between 4 and 7 years","no assets",47.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","bad"
"no running account",12.0,"no problems with current credits at this bank","other",1344.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","no assets",43.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","0 to 2","no","yes","good"
"no balance",72.0,"no previous credits or paid back","items of furniture",5595.0,"less than 100 DM","between 1 and 4 years","between 25 and 35","male:married/widowed","none","between 1 and 4 years","savings contract with a building society/Life insurance",24.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",12.0,"paid back previous credits at this bank","items of furniture",3573.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","less than 1 year","no assets",23.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",24.0,"no previous credits or paid back","new car",6313.0,"greater than 1000 DM","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",41.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
">=200 DM",5.0,"no previous credits or paid back","retraining",3448.0,"no savings","between 4 and 7 years","greater than 35","male:single","none","greater than 7 years","no assets",74.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",9.0,"no previous credits or paid back","other",3577.0,"less than 100 DM","between 1 and 4 years","greater than 35","male:single","guarantor","between 1 and 4 years","no assets",26.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","no","good"
"no balance",9.0,"no previous credits or paid back","other",1549.0,"greater than 1000 DM","less than 1 year","less than 20","male:single","none","between 1 and 4 years","no assets",35.0,"no further running credits","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","good"
"no running account",36.0,"paid back previous credits at this bank","used car",2348.0,"no savings","between 1 and 4 years","between 20 and 25","male:married/widowed","none","between 1 and 4 years","car/other",46.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",60.0,"no problems with current credits at this bank","items of furniture",9157.0,"greater than 1000 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","ownership of house or land",27.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","no","yes","good"
"no running account",39.0,"paid back previous credits at this bank","used car",14179.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","car/other",30.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",3105.0,"greater than 1000 DM","less than 1 year","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",9.0,"no previous credits or paid back","radio/television",1236.0,"no savings","less than 1 year","greater than 35","female:divorced/living apart/married","none","greater than 7 years","no assets",23.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",12.0,"no previous credits or paid back","items of furniture",1103.0,"no savings","between 4 and 7 years","less than 20","male:single","guarantor","between 4 and 7 years","no assets",29.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",21.0,"paid back previous credits at this bank","other",1602.0,"no savings","greater than 7 years","less than 20","male:married/widowed","none","between 4 and 7 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",36.0,"no previous credits or paid back","repair",9055.0,"greater than 1000 DM","between 1 and 4 years","between 25 and 35","male:single","none","greater than 7 years","ownership of house or land",35.0,"no further running credits","owner","one","unskilled with permanant residence","0 to 2","yes","yes","good"
"no balance",18.0,"no previous credits or paid back","retraining",1913.0,"between 500 and 1000 DM","less than 1 year","between 20 and 25","male:married/widowed","none","between 4 and 7 years","no assets",36.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",21.0,"no problems with current credits at this bank","new car",2993.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","no assets",28.0,"at department store or mail order house","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"<= 200 DM",42.0,"hesistant payment of previous credits","retraining",6289.0,"no savings","less than 1 year","between 25 and 35","male:divorced/living apart","none","less than 1 year","car/other",33.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","other",915.0,"greater than 1000 DM","greater than 7 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",29.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"<= 200 DM",18.0,"no previous credits or paid back","items of furniture",2100.0,"no savings","between 1 and 4 years","less than 20","male:single","co-applicant","between 1 and 4 years","no assets",37.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",36.0,"paid back previous credits at this bank","new car",5842.0,"no savings","greater than 7 years","between 25 and 35","male:single","none","between 1 and 4 years","car/other",35.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no balance",18.0,"paid back previous credits at this bank","used car",6361.0,"no savings","greater than 7 years","between 25 and 35","male:single","none","less than 1 year","ownership of house or land",41.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",21.0,"no previous credits or paid back","items of furniture",3357.0,"between 500 and 1000 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",29.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","other",2249.0,"less than 100 DM","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","used car",1620.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","co-applicant","between 4 and 7 years","car/other",30.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",15.0,"paid back previous credits at this bank","new car",2360.0,"between 100 and 500 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",36.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",6.0,"paid back previous credits at this bank","other",1361.0,"no savings","less than 1 year","between 25 and 35","male:single","none","greater than 7 years","no assets",40.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","no","good"
"no running account",45.0,"hesistant payment of previous credits","retraining",11816.0,"no savings","greater than 7 years","between 25 and 35","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",29.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"<= 200 DM",10.0,"paid back previous credits at this bank","other",781.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",63.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",9.0,"no previous credits or paid back","other",654.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",15.0,"no previous credits or paid back","items of furniture",1386.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:married/widowed","none","between 1 and 4 years","no assets",40.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",15.0,"paid back previous credits at this bank","new car",3368.0,"between 500 and 1000 DM","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",23.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",5943.0,"greater than 1000 DM","less than 1 year","greater than 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",44.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",24.0,"no previous credits or paid back","new car",2760.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",36.0,"at other banks","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",30.0,"no previous credits or paid back","items of furniture",1867.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",58.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",18.0,"no previous credits or paid back","used car",4153.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","co-applicant","between 4 and 7 years","savings contract with a building society/Life insurance",42.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","items of furniture",1934.0,"no savings","greater than 7 years","between 25 and 35","male:single","none","between 1 and 4 years","ownership of house or land",26.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",24.0,"no problems with current credits at this bank","used car",2333.0,"greater than 1000 DM","less than 1 year","less than 20","male:single","none","between 1 and 4 years","car/other",29.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","used car",1935.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",43.0,"no further running credits","rented","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",48.0,"paid back previous credits at this bank","other",10127.0,"between 100 and 500 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","ownership of house or land",44.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",15.0,"paid back previous credits at this bank","other",5045.0,"greater than 1000 DM","greater than 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",59.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",24.0,"problematic running accounts","other",2325.0,"less than 100 DM","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",32.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",12.0,"hesistant payment of previous credits","items of furniture",6199.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",28.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",21.0,"no previous credits or paid back","items of furniture",2606.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",28.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","items of furniture",1680.0,"between 100 and 500 DM","greater than 7 years","between 20 and 25","male:married/widowed","none","less than 1 year","no assets",35.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",6.0,"paid back previous credits at this bank","vacation",932.0,"greater than 1000 DM","between 4 and 7 years","greater than 35","female:divorced/living apart/married","none","between 4 and 7 years","car/other",39.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",6.0,"paid back previous credits at this bank","other",666.0,"between 500 and 1000 DM","between 4 and 7 years","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","no assets",39.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","yes","yes","good"
"no balance",48.0,"no previous credits or paid back","items of furniture",3979.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","less than 1 year","savings contract with a building society/Life insurance",41.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no running account",48.0,"paid back previous credits at this bank","new car",6331.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",46.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",36.0,"paid back previous credits at this bank","items of furniture",2337.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",36.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
